artifact_name,year,lat,lon,image_link
L'EtГ© ou Ruth et Booz,1665.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-l039ete-ruth-booz.jpg?1527819974
The Fall of Phaeton,1946.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-chute-phaeton.jpg?1527827131
The Ray of Sunlight,1784.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-coup-soleil.jpg?1527830214
La Baie de Weymouth Г  l'approche de l'orage,1873.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-baie-weymouth-l039approche-l039orage.jpg?1527819639
Piece of jewellery composed of beads,1901.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-parure-perles.jpg?1527833072
"Fibule Г  plaque, arc Г  quatre coquilles",1909.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-fibule-plaque-arc-quatre.jpg?1527816889
Pair of bracelets decorated with lionВ’s head inlays,1901.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-paire-bracelets-decores-tetes.jpg?1527833127
Pair of bracelets belonging to the duchesse d'AngoulГЄme,1973.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-paire-bracelets-duchesse-d039angouleme.jpg?1527828724
"The ""Regent"" Diamond",1887.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-diamant-dit-quotle-regentquot.jpg?1527828413
Pectoral decorated with a sphinx and a stylised tree,1949.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-pectoral-decore-sphinx-arbre.jpg?1527832390
Necklace and earrings belonging to the empress Marie-Louise,2004.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-collier-boucles-d039oreilles-l039imperatrice.jpg?1527828789
Boucles d'oreilles en barilletProtomГ©s de taureaux et de panthГЁresВ ; au revers : motif en Г©toile,1863.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-boucles-d039oreilles-barilletprotomes-taureaux.jpg?1527816938
Collier Г  pendentif en forme de tГЄte d'AchГ©loos,1863.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-collier-pendentif-forme-tete.jpg?1527816955
"Ring with a portrait of Jean Sans Peur, Duc de Bourgogne (1404-19)",1951.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-bague-portrait-jean-sans.jpg?1527829257
Collier de SennГ©fer,1930.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-collier-sennefer.jpg?1527818838
Fibule Г  arc serpentant,1863.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-fibule-arc-serpentant.jpg?1527816934
Parure of Queen Marie-AmГ©lie,1985.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-parure-reine-marie-amelie.jpg?1527828778
"The EmpressВ’s Jewelry cabinet, called the ""Grand Ecrin""",1964.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-serre-bijoux-l039imperatrice-dit.jpg?1527828912
Jester with a Lute,1984.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-bouffon-luth.jpg?1527830107
The Concert Group,1624.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-concert.jpg?1527830030
